Ads,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Outbound clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Content views","Cost per content view","Landing page views","Cost per landing page view","* OC to LPV","* LC to LPV","Adds to cart","Cost per add to cart","* LPV to ATC","Checkouts initiated","Cost per checkout initiated","* ATC to IC","Adds of payment info","Cost per add of payment info","* API to Purchase",Purchases,"Cost per purchase","Purchases conversion value","Purchase ROAS (return on ad spend)","Average purchases conversion value","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
"Momen pertama top up",active,ad,48680,17178.69761709,97015,8619.89383085,1.9929129,1491,1488,2789,2.87481317,299.84187881,1.53687574,560.87122736,1170,714.75128205,953,877.50157398,0.64045699,0.63916834,1016,823.08956693,1.06610703,63,13273.95238095,0.06200787,76,11003.40789474,0.35526316,27,30972.55555556,,,,"Website purchases",27,30972.55555556,836259,2026-01-15,2026-01-25
"Brief 1",active,ad,4953,26707.04623461,6903,19162.6828915,1.39370079,137,137,194,2.8103723,681.8556701,1.98464436,965.54744526,100,1322.8,84,1574.76190476,0.61313869,0.61313869,77,1717.92207792,0.91666667,9,14697.77777778,0.11688312,4,33070,0.75,3,44093.33333333,,,,"Website purchases",3,44093.33333333,132280,2026-01-15,2026-01-25
"Brief 2",active,ad,3579,15988.26487846,4631,12356.29453682,1.29393685,53,53,79,1.70589506,724.32911392,1.14446124,1079.66037736,39,1467.23076923,38,1505.84210526,0.71698113,0.71698113,26,2200.84615385,0.68421053,4,14305.5,0.15384615,1,57222,1,1,57222,,,,"Website purchases",1,57222,57222,2026-01-15,2026-01-25
"Brief 3",active,ad,3235,20833.38485317,4459,15114.59968603,1.37836167,41,41,76,1.70441803,886.78947368,0.91948867,1643.80487805,29,2324,38,1773.57894737,0.92682927,0.92682927,21,3209.33333333,0.55263158,2,33698,0.0952381,1,67396,2,2,33698,,,,"Website purchases",2,33698,67396,2026-01-15,2026-01-25
"Satu tempat, semua kebutuhan gamer",inactive,ad,1601,28431.60524672,2353,19345.09137272,1.46970643,53,53,102,4.33489163,446.26470588,2.25244369,858.8490566,51,892.52941176,34,1338.79411765,0.64150943,0.64150943,29,1569.62068966,0.85294118,6,7586.5,0.20689655,3,15173,0,,,,,,,,,45519,2026-01-15,2026-01-25
"MLBB x AOT Comeback!",inactive,ad,1202,13841.93011647,1443,11530.14553015,1.20049917,18,18,39,2.7027027,426.61538462,1.24740125,924.33333333,10,1663.8,10,1663.8,0.55555556,0.55555556,8,2079.75,0.8,,,0,,,,,,,,,,,,16638,2026-01-15,2026-01-25
"Misteri Shop resmi hadir",inactive,ad,430,19051.1627907,495,16549.49494949,1.15116279,4,4,12,2.42424242,682.66666667,0.80808081,2048,4,2048,4,2048,1,1,4,2048,1,1,8192,0.25,1,8192,0,,,,,,,,,8192,2026-01-15,2026-01-25
"SEMUA YANG PERLU LO TAU",inactive,ad,193,23398.96373057,230,19634.7826087,1.19170984,3,3,6,2.60869565,752.66666667,1.30434783,1505.33333333,2,2258,2,2258,0.66666667,0.66666667,2,2258,1,,,0,,,,,,,,,,,,4516,2026-01-15,2026-01-25
"Aim boleh jago, tapi",inactive,ad,163,14018.40490798,195,11717.94871795,1.19631902,2,2,5,2.56410256,457,1.02564103,1142.5,2,1142.5,1,2285,0.5,0.5,1,2285,1,,,0,,,,,,,,,,,,2285,2026-01-15,2026-01-25
"Masuk tahun 2026",inactive,ad,117,27837.60683761,178,18297.75280899,1.52136752,5,5,9,5.05617978,361.88888889,2.80898876,651.4,5,651.4,4,814.25,0.8,0.8,1,3257,0.25,,,0,,,,,,,,,,,,3257,2026-01-15,2026-01-25
"Top up game kesayanganmu",inactive,ad,82,23743.90243902,95,20494.73684211,1.15853659,3,3,6,6.31578947,324.5,3.15789474,649,3,649,3,649,1,1,2,973.5,0.66666667,,,0,,,,,,,,,,,,1947,2026-01-15,2026-01-25
