Region,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Outbound clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Content views","Cost per content view","Landing page views","Cost per landing page view","* OC to LPV","* LC to LPV","Adds to cart","Cost per add to cart","* LPV to ATC","Checkouts initiated","Cost per checkout initiated","* ATC to IC","Adds of payment info","Cost per add of payment info","* API to Purchase",Purchases,"Cost per purchase","Purchases conversion value","Purchase ROAS (return on ad spend)","Average purchases conversion value","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
"West Java",,,10931,18471.13713292,21930,9206.93114455,2.00622084,317,317,631,2.87733698,319.98098257,1.44550844,636.93375394,,,,,,,,,,,,,,,,,,,,,,,,201908,2026-01-15,2026-01-25
"East Java",,,7027,23870.7841184,15345,10931.24796351,2.18371994,271,271,445,2.89996742,376.94382022,1.76604757,618.96678967,,,,,,,,,,,,,,,,,,,,,,,,167740,2026-01-15,2026-01-25
Jakarta,,,6140,23228.99022801,12688,11241.01513241,2.06644951,214,214,391,3.08165195,364.77237852,1.68663304,666.47663551,,,,,,,,,,,,,,,,,,,,,,,,142626,2026-01-15,2026-01-25
"Central Java",,,6075,18315.55555556,12171,9141.97683017,2.00345679,213,211,370,3.04001315,300.72162162,1.75006162,522.38028169,,,,,,,,,,,,,,,,,,,,,,,,111267,2026-01-15,2026-01-25
"North Sumatra",,,3396,18543.58068316,6939,9075.37109094,2.04328622,88,88,186,2.68050151,338.56989247,1.26819426,715.61363636,,,,,,,,,,,,,,,,,,,,,,,,62974,2026-01-15,2026-01-25
Banten,,,2614,24679.41851568,5777,11167.04171715,2.21002295,94,94,154,2.66574347,418.90909091,1.62714212,686.29787234,,,,,,,,,,,,,,,,,,,,,,,,64512,2026-01-15,2026-01-25
"South Sulawesi",,,1857,19789.98384491,3774,9737.67885533,2.03231018,54,54,91,2.41123476,403.84615385,1.43084261,680.55555556,,,,,,,,,,,,,,,,,,,,,,,,36750,2026-01-15,2026-01-25
Riau,,,1539,19277.45289149,3161,9385.6374565,2.05393112,53,53,101,3.1951914,293.74257426,1.67668459,559.77358491,,,,,,,,,,,,,,,,,,,,,,,,29668,2026-01-15,2026-01-25
"East Kalimantan",,,1438,19582.05841446,2929,9613.86138614,2.03685675,52,52,77,2.62888358,365.7012987,1.77534995,541.51923077,,,,,,,,,,,,,,,,,,,,,,,,28159,2026-01-15,2026-01-25
"South Sumatra",,,1478,15881.59675237,2836,8276.79830748,1.9188092,33,32,78,2.75035261,300.93589744,1.16361072,711.3030303,,,,,,,,,,,,,,,,,,,,,,,,23473,2026-01-15,2026-01-25
"West Kalimantan",,,1143,23275.59055118,2427,10961.68108776,2.12335958,41,41,78,3.21384425,341.07692308,1.68932839,648.87804878,,,,,,,,,,,,,,,,,,,,,,,,26604,2026-01-15,2026-01-25
Lampung,,,1147,19794.24585876,2324,9769.36316695,2.02615519,40,40,71,3.05507745,319.77464789,1.7211704,567.6,,,,,,,,,,,,,,,,,,,,,,,,22704,2026-01-15,2026-01-25
Bali,,,1166,18293.31046312,2323,9182.09212226,1.9922813,25,25,44,1.89410245,484.77272727,1.07619458,853.2,,,,,,,,,,,,,,,,,,,,,,,,21330,2026-01-15,2026-01-25
"Special Region of Yogyakarta",,,1063,24340.54562559,2290,11298.68995633,2.15428034,31,31,56,2.44541485,462.03571429,1.35371179,834.64516129,,,,,,,,,,,,,,,,,,,,,,,,25874,2026-01-15,2026-01-25
"Riau Islands Province",,,953,19906.61070304,1921,9875.58563248,2.01573977,17,17,38,1.97813639,499.23684211,0.88495575,1115.94117647,,,,,,,,,,,,,,,,,,,,,,,,18971,2026-01-15,2026-01-25
"South Kalimantan",,,936,18152.77777778,1907,8909.80597798,2.03739316,22,22,42,2.20241217,404.54761905,1.15364447,772.31818182,,,,,,,,,,,,,,,,,,,,,,,,16991,2026-01-15,2026-01-25
"West Sumatra",,,901,22312.98557159,1842,10914.22366992,2.04439512,30,30,45,2.44299674,446.75555556,1.6286645,670.13333333,,,,,,,,,,,,,,,,,,,,,,,,20104,2026-01-15,2026-01-25
Aceh,,,817,20161.56670747,1628,10117.93611794,1.99265606,25,25,51,3.13267813,322.98039216,1.53562654,658.88,,,,,,,,,,,,,,,,,,,,,,,,16472,2026-01-15,2026-01-25
"West Nusa Tenggara",,,760,24689.47368421,1539,12192.33268356,2.025,13,13,27,1.75438596,694.96296296,0.84470435,1443.38461538,,,,,,,,,,,,,,,,,,,,,,,,18764,2026-01-15,2026-01-25
"Central Sulawesi",,,720,22580.55555556,1414,11497.87835926,1.96388889,18,18,40,2.82885431,406.45,1.27298444,903.22222222,,,,,,,,,,,,,,,,,,,,,,,,16258,2026-01-15,2026-01-25
"Central Kalimantan",,,731,18441.86046512,1385,9733.57400722,1.89466484,21,21,35,2.52707581,385.17142857,1.51624549,641.95238095,,,,,,,,,,,,,,,,,,,,,,,,13481,2026-01-15,2026-01-25
Jambi,,,727,21481.43053645,1360,11483.08823529,1.87070151,25,25,40,2.94117647,390.425,1.83823529,624.68,,,,,,,,,,,,,,,,,,,,,,,,15617,2026-01-15,2026-01-25
"North Sulawesi",,,676,18022.18934911,1309,9307.10466005,1.93639053,14,14,30,2.29182582,406.1,1.06951872,870.21428571,,,,,,,,,,,,,,,,,,,,,,,,12183,2026-01-15,2026-01-25
"East Nusa Tenggara",,,620,17590.32258065,1145,9524.89082969,1.84677419,11,11,29,2.53275109,376.06896552,0.96069869,991.45454545,,,,,,,,,,,,,,,,,,,,,,,,10906,2026-01-15,2026-01-25
"Southeast Sulawesi",,,520,16982.69230769,1001,8822.17782218,1.925,17,17,33,3.2967033,267.60606061,1.6983017,519.47058824,,,,,,,,,,,,,,,,,,,,,,,,8831,2026-01-15,2026-01-25
"Bangka–Belitung Islands",,,413,17457.62711864,902,7993.3481153,2.18401937,16,16,28,3.10421286,257.5,1.77383592,450.625,,,,,,,,,,,,,,,,,,,,,,,,7210,2026-01-15,2026-01-25
"North Maluku",,,367,13885.55858311,620,8219.35483871,1.6893733,6,6,19,3.06451613,268.21052632,0.96774194,849.33333333,,,,,,,,,,,,,,,,,,,,,,,,5096,2026-01-15,2026-01-25
"West Sulawesi",,,279,15146.95340502,574,7362.36933798,2.05734767,2,2,10,1.74216028,422.6,0.34843206,2113,,,,,,,,,,,,,,,,,,,,,,,,4226,2026-01-15,2026-01-25
Bengkulu,,,317,17173.50157729,571,9534.15061296,1.80126183,12,12,24,4.20315236,226.83333333,2.10157618,453.66666667,,,,,,,,,,,,,,,,,,,,,,,,5444,2026-01-15,2026-01-25
Maluku,,,277,18216.60649819,512,9855.46875,1.84837545,12,12,21,4.1015625,240.28571429,2.34375,420.5,,,,,,,,,,,,,,,,,,,,,,,,5046,2026-01-15,2026-01-25
Gorontalo,,,248,19225.80645161,504,9460.31746032,2.03225806,12,12,15,2.97619048,317.86666667,2.38095238,397.33333333,,,,,,,,,,,,,,,,,,,,,,,,4768,2026-01-15,2026-01-25
"West Papua",,,228,20464.9122807,491,9503.05498982,2.15350877,9,9,11,2.24032587,424.18181818,1.83299389,518.44444444,,,,,,,,,,,,,,,,,,,,,,,,4666,2026-01-15,2026-01-25
"North Kalimantan",,,198,23489.8989899,443,10498.87133183,2.23737374,2,2,6,1.35440181,775.16666667,0.45146727,2325.5,,,,,,,,,,,,,,,,,,,,,,,,4651,2026-01-15,2026-01-25
Unknown,,,13,18230.76923077,15,15800,1.15384615,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,2026-01-15,2026-01-25
