Ads,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram profile visits","Instagram follows","* COST/ Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
"ADS 1 || Peredam Mobil;...and 3 more ads",active,ad,17347,39660.63296247,21942,31355.07246377,1.2648873,119,279,1.27153404,2465.92473118,0.54233889,5781.45378151,119,0.38655462,46,14956.36956522,177,8,85999.125,"Messaging conversations started",46,14956.36956522,687993,2026-01-30,2026-02-05
"Ads 2 - BANJIR (manual upload);...and 1 more ad",active,ad,16494,21234.3882624,20737,16889.61759174,1.25724506,104,203,0.97892656,1725.32019704,0.50151902,3367.69230769,104,0.09615385,10,35024,108,3,116746.66666667,"Messaging conversations started",10,35024,350240,2026-01-30,2026-02-05
"ADS 6 || SV (EP);...and 2 more ads",active,ad,4683,52188.34080717,6875,35548.8,1.46807602,32,84,1.22181818,2909.5,0.46545455,7637.4375,32,0.28125,9,27155.33333333,76,4,61099.5,"Messaging conversations started",9,27155.33333333,244398,2026-01-30,2026-02-05
"ADS 2 || SV (manual upload)",active,ad,3323,64086.0668071,5529,38516.54910472,1.66385796,21,62,1.1213601,3434.80645161,0.37981552,10140.85714286,21,0.33333333,7,30422.57142857,60,0,,"Messaging conversations started",7,30422.57142857,212958,2026-01-30,2026-02-05
"ADS 2 || Service;...and 1 more ad",active,ad,5274,36309.44254835,7108,26940.91164885,1.34774365,27,100,1.4068655,1914.96,0.37985369,7092.44444444,27,0.22222222,6,31916,89,5,38299.2,"Messaging conversations started",6,31916,191496,2026-01-30,2026-02-05
"Ads 2 - (Manual Upload)",active,ad,6106,11469.37438585,6701,10450.97746605,1.09744514,178,176,2.62647366,397.90909091,2.65631995,393.43820225,,,,,203,27,2593.77777778,"Instagram profile visits",203,344.98522167,70032,2026-01-30,2026-02-05
"Ads 1 - (Manual Upload)",active,ad,18514,3681.59230852,20373,3345.65356109,1.1004105,411,406,1.99283365,167.88423645,2.01737594,165.84184915,,,,,409,3,22720.33333333,"Instagram profile visits",409,166.65281174,68161,2026-01-30,2026-02-05
"Ads 1 - LAKA (manual upload);...and 1 more ad",active,ad,1860,26947.31182796,2364,21202.19966159,1.27096774,6,26,1.0998308,1927.76923077,0.25380711,8353.66666667,6,0.66666667,4,12530.5,22,1,50122,"Messaging conversations started",4,12530.5,50122,2026-01-30,2026-02-05
"ADS 4 || SV (EP)",inactive,ad,1258,27929.25278219,1561,22508.00768738,1.24085851,7,25,1.60153748,1405.4,0.44843049,5019.28571429,7,0.28571429,2,17567.5,25,0,,"Messaging conversations started",2,17567.5,35135,2026-01-30,2026-02-05
"ADS 2 || SV",inactive,ad,453,76152.31788079,723,47713.69294606,1.59602649,3,11,1.52143845,3136.09090909,0.41493776,11499,3,0.33333333,1,34497,16,1,34497,"Messaging conversations started",1,34497,34497,2026-01-30,2026-02-05
"ADS 2 || Servis berkala;...and 3 more ads",active,ad,83,30204.81927711,92,27250,1.10843373,,1,1.08695652,2507,,,,,,,0,0,,,,,2507,2026-01-30,2026-02-05
