Ads,Impressions,"Link clicks","CTR (link click-through rate)","Outbound clicks","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Amount spent (IDR)","Instagram profile visits","Reporting starts","Reporting ends"
,787193,12141,1.54231554,1495,324,55599.76234568,450,40031.82888889,18014323,15374,2025-11-26,2025-12-25
"NCC || BOF || Ads 2 || 15/12/25 (manual upload); NCC || BOF || Ads 2 || 30/11/25 (manual upload);...and 13 more ads",162613,436,0.26812124,431,104,60146.56730769,70,89360.61428571,6255243,1583,2025-11-26,2025-12-25
"SPPF || Ads 1 || 30/11/25; SPPF || Ads 1 || 31/10/25;...and 14 more ads",77474,478,0.61698118,475,89,43717.19101124,72,54039.30555556,3890830,926,2025-11-26,2025-12-25
"SPPF || Ads 2 || 16/12/25;...and 3 more ads",25750,77,0.29902913,77,11,115249.54545455,17,74573.23529412,1267745,547,2025-11-26,2025-12-25
"Ads 4 - (SPPF, Ordinar car);...and 2 more ads",25406,97,0.38179957,94,21,55446.66666667,15,77625.33333333,1164380,269,2025-11-26,2025-12-25
"Ads 3 - (visit profile, sppf);...and 2 more ads",280975,7714,2.74543999,1,2,527437.5,109,9677.75229358,1054875,7753,2025-11-26,2025-12-25
"ADS 1; ADS 1 || 15/12/25;...and 9 more ads",16336,86,0.52644466,85,26,40116.11538462,19,54895.73684211,1043019,344,2025-11-26,2025-12-25
"UGC || Ads 1 || 30/11/25 (manual upload); UGC || Ads 1 || 31/10/25 (manual upload);...and 12 more ads",9261,30,0.3239391,30,10,54983.3,9,61092.55555556,549833,128,2025-11-26,2025-12-25
"UGC || Ads 2 || 31/10/25 (manual upload); UGC || Ads 2 || 15/12/25 (manual upload);...and 11 more ads",10400,92,0.88461538,92,13,35397.53846154,11,41833.45454545,460168,168,2025-11-26,2025-12-25
"Ads 2 - @hobibarbar;...and 2 more ads",89136,1237,1.38776701,1,,,59,7081.03389831,417781,1252,2025-11-26,2025-12-25
"Ads 1 - 19/12/25;...and 2 more ads",44670,1669,3.73628834,,,,55,5143.56363636,282896,1713,2025-11-26,2025-12-25
"UGC || Ads 2 || 31/10/25 (manual upload);...and 1 more ad",5109,37,0.72421217,36,2,132714,5,53085.6,265428,87,2025-11-26,2025-12-25
"Ads ppf 1",3508,16,0.45610034,16,5,36205.6,1,181028,181028,50,2025-11-26,2025-12-25
"Ads ppf 3",2834,19,0.67043049,19,9,19892.11111111,0,,179029,95,2025-11-26,2025-12-25
"Ads ppf 2",3331,25,0.75052537,24,6,29043,0,,174258,75,2025-11-26,2025-12-25
"Ads 3 - (carousel, ceramic coating);...and 1 more ad",5095,19,0.37291462,19,4,42026.75,1,168107,168107,68,2025-11-26,2025-12-25
"before after_satisfiying_reels || 30/11/25; before after_satisfiying_reels_;...and 4 more ads",2986,17,0.56932351,16,3,53662,5,32197.2,160986,94,2025-11-26,2025-12-25
"Ads 5 - (carousel, nano ceramic, auto detailing",5679,16,0.28173974,13,2,57476,0,,114952,78,2025-11-26,2025-12-25
"Ads 1 - (PPF, before-after, benefit ppf);...and 2 more ads",2754,24,0.87145969,23,2,51029.5,0,,102059,23,2025-11-26,2025-12-25
"Ads 5 - (carousel, nano ceramic, auto detailing;...and 1 more ad",8244,28,0.33964095,19,7,13277.71428571,1,92944,92944,33,2025-11-26,2025-12-25
"Ads 2 - (before- after, ceramic coating);...and 2 more ads",2155,8,0.3712297,8,5,13781.2,1,68906,68906,31,2025-11-26,2025-12-25
"PPF || BOF || Ads 3 || 17/11/25 (manual upload);...and 11 more ads",1348,5,0.37091988,5,,,0,,51380,24,2025-11-26,2025-12-25
"before after_satisfiying_reels || 15/12/25;...and 3 more ads",1208,6,0.49668874,6,1,37778,0,,37778,21,2025-11-26,2025-12-25
"Ads 3 - (carousel, ceramic coating)",729,5,0.68587106,5,2,12433,0,,24866,11,2025-11-26,2025-12-25
"NCC || BOF || Ads 1 || 17/11/25 (manual upload);...and 11 more ads",133,,,,,,0,,4623,0,2025-11-26,2025-12-25
"SP || BOF || Ads 4 || 17/11/25 (manual upload);...and 5 more ads",59,,,,,,0,,1209,1,2025-11-26,2025-12-25
